accession,GO
Q9NYB9,GO:0005912; GO:0005737; GO:0005856; GO:0005829; GO:0043197; GO:0032433; GO:0030027; GO:0005634; GO:0031209; GO:0008093; GO:0042802; GO:0019900; GO:0070064; GO:0017124; GO:0035591; GO:0031625; GO:0008154; GO:0016477; GO:0007010; GO:0070309; GO:0007399; GO:0018108; GO:2000601; GO:0010592; GO:0016601; GO:0061001; GO:0045186
P62484,GO:0005884; GO:0005912; GO:0005829; GO:0030425; GO:0043197; GO:0032433; GO:0098978; GO:0030027; GO:0098871; GO:0031209; GO:0042802; GO:0070064; GO:0017124; GO:0035591; GO:0031267; GO:0031625; GO:0008154; GO:0043010; GO:0016477; GO:0016358; GO:0007611; GO:0070309; GO:0001764; GO:0018108; GO:2000601; GO:0010592; GO:0098974; GO:0016601; GO:0061001; GO:0045186
Q5ZHW7,GO:0030425; GO:0032433; GO:0030426; GO:0030027; GO:0016607; GO:0005634; GO:0051015; GO:0003785; GO:0048813; GO:0030833; GO:0051489
Q6GR35,GO:0030425; GO:0032433; GO:0030426; GO:0030027; GO:0016607; GO:0048813; GO:0030833; GO:0051489
P42684,GO:0015629; GO:0005829; GO:0051015; GO:0003785; GO:0005524; GO:0000287; GO:0030145; GO:0004715; GO:0001784; GO:0004672; GO:0004713; GO:0007155; GO:0071300; GO:0035640; GO:0035024; GO:0018108; GO:0007204; GO:1903905; GO:0010976; GO:0051353; GO:0010863; GO:2000406; GO:0036211; GO:2000249; GO:0010506; GO:0030155; GO:2000145; GO:0030100; GO:0007165
O14639,GO:0015629; GO:0005737; GO:0030027; GO:0001725; GO:0003779; GO:0051015; GO:0046872; GO:0009887; GO:0060271; GO:0007010; GO:0030032; GO:0007601
Q8K4G5,GO:0015629; GO:0005737; GO:0030027; GO:0014069; GO:0001725; GO:0003779; GO:0051015; GO:0046872; GO:0007411; GO:0060271; GO:0007010; GO:0030032; GO:0045944; GO:0006366
O94929,GO:0015629; GO:0005737; GO:0098978; GO:0030027; GO:0001725; GO:0051015; GO:0046872; GO:0030036; GO:0060271; GO:0030032; GO:1903955; GO:0045944; GO:0006366
P10447,GO:0005524; GO:0004715; GO:0007154; GO:0023052
Q6V289,
A6QNS3,GO:0070161; GO:0030424; GO:0043197; GO:0016020; GO:0005096; GO:0005085; GO:0090630; GO:0035556
Q8N961,GO:0046982; GO:0097237
Q7TQI7,GO:0046982; GO:0097237
Q5SWU9,GO:0015629; GO:0005829; GO:0001650; GO:0005739; GO:0003989; GO:0005524; GO:0009374; GO:0042802; GO:0019900; GO:0046872; GO:0006084; GO:0071380; GO:0006633; GO:0055088; GO:0006629; GO:2001295; GO:0051289; GO:0019538; GO:0014070; GO:0001894
Q28559,GO:0005829; GO:0003989; GO:0005524; GO:0046872; GO:0006084; GO:0006633; GO:2001295; GO:0051289
O00763,GO:0005829; GO:0005741; GO:0005739; GO:0005634; GO:0003989; GO:0005524; GO:0009374; GO:0042802; GO:0046872; GO:0006084; GO:0097009; GO:0006633; GO:2001295; GO:0043086; GO:0031999; GO:0010629; GO:0060421; GO:0010884; GO:0051289; GO:0010906; GO:0031667; GO:0014070; GO:0009410
P11029,GO:0005737; GO:0005739; GO:0003989; GO:0005524; GO:0009374; GO:0004075; GO:0050692; GO:0046872; GO:0046966; GO:0005102; GO:0032810; GO:0006633; GO:2001295; GO:0010628; GO:0045893; GO:0065008; GO:0040029; GO:0009743; GO:0070542; GO:0097066; GO:0006810
Q9UKU7,GO:0005759; GO:0003995; GO:0050660; GO:0006629; GO:0006574
Q9D7B6,GO:0005739; GO:0003995; GO:0050660; GO:0006635; GO:0006574
P15650,GO:0005737; GO:0005759; GO:0031966; GO:0005739; GO:0003995; GO:0000062; GO:0050660; GO:0042802; GO:0004466; GO:0016401; GO:0042413; GO:0019254; GO:0044242; GO:0033539; GO:0009062; GO:0042758; GO:0045717; GO:0046322; GO:0120162; GO:0090181; GO:0009409; GO:0001659
Q3SZB4,GO:0030424; GO:0005737; GO:0005759; GO:0031966; GO:0005739; GO:0003995; GO:0050660; GO:0042802; GO:0070991; GO:0055007; GO:0045329; GO:0019254; GO:0006635; GO:0033539; GO:0005978; GO:0001889; GO:0051793; GO:0009791; GO:0006111; GO:0009409; GO:0042594
P41367,GO:0030424; GO:0005737; GO:0005759; GO:0031966; GO:0005739; GO:0003995; GO:0050660; GO:0042802; GO:0070991; GO:0055007; GO:0045329; GO:0019254; GO:0006635; GO:0033539; GO:0005978; GO:0001889; GO:0051793; GO:0009791; GO:0006111; GO:0009409; GO:0042594
Q07417,GO:0005813; GO:0005759; GO:0031966; GO:0005739; GO:0005654; GO:0003995; GO:0004085; GO:0000062; GO:0050660; GO:0042802; GO:0046359; GO:0033539
Q5RAS0,GO:0005759; GO:0003995; GO:0004085; GO:0050660; GO:0006631
P15651,GO:0005759; GO:0031966; GO:0005739; GO:0003995; GO:0004085; GO:0000062; GO:0050660; GO:0042802; GO:0046359; GO:0006635; GO:0033539; GO:0051384; GO:0042594
Q15057,GO:0010008; GO:0016020; GO:0001726; GO:0005096; GO:0046872; GO:0030029; GO:1990090; GO:0032456
Q96P50,GO:0030426; GO:0005096; GO:0046872; GO:0001764; GO:0010975
P45882,GO:0005783; GO:0005794; GO:0000062; GO:0008289
Q9PRL8,GO:0005783; GO:0005794; GO:0000062; GO:0008289; GO:0006631
P45883,GO:0005783; GO:0005794; GO:0000062; GO:0008289
Q8VD53,GO:0005794; GO:0030173; GO:0102121; GO:0071633; GO:0046872; GO:0017040; GO:0006919; GO:0006974; GO:0071466; GO:0046514; GO:0030330; GO:0033629; GO:0001953; GO:0010942; GO:0008284; GO:0042981; GO:0010506; GO:0060049; GO:0032526; GO:0046512
Q92035,GO:0070161; GO:0005886; GO:0045202; GO:0043083; GO:0003990; GO:0090729; GO:0001507
P09482,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0007268; GO:0034220; GO:0051899; GO:0050877; GO:0042391; GO:0035094; GO:0007165; GO:0007271
P43681,GO:0005892; GO:0070161; GO:0030425; GO:0009897; GO:0016021; GO:0005887; GO:0016020; GO:0043005; GO:0043025; GO:0005886; GO:0045211; GO:0045202; GO:0042166; GO:0015464; GO:0022848; GO:0005231; GO:0015276; GO:0030594; GO:1904315; GO:0001508; GO:0042113; GO:0035095; GO:0006816; GO:0007268; GO:0050890; GO:0006281; GO:0060080; GO:0034220; GO:0006811; GO:0051899; GO:0050877; GO:0014059; GO:0042391; GO:0001666; GO:0035094; GO:0006979; GO:0019233; GO:0007165; GO:0007271
Q5IS77,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0015464; GO:0022848; GO:0005231; GO:0030594; GO:1904315; GO:0035095; GO:0007268; GO:0050890; GO:0006281; GO:0034220; GO:0050877; GO:0042391; GO:0001666; GO:0035094; GO:0006979; GO:0007165; GO:0007271
P26152,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0007268; GO:0034220; GO:0050877; GO:0042391; GO:0035094; GO:0007165; GO:0007271
P49581,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0007268; GO:0034220; GO:0051899; GO:0050877; GO:0042391; GO:0007165
P22770,GO:0005892; GO:0070161; GO:0030424; GO:0005737; GO:0030425; GO:0043204; GO:0005886; GO:0045211; GO:0042166; GO:0015464; GO:0022848; GO:0001540; GO:0017081; GO:0042803; GO:0015643; GO:0006816; GO:0006874; GO:0050890; GO:0051899; GO:0032720; GO:0045766; GO:0008284; GO:0043410; GO:0001666; GO:0035094; GO:0007165
Q9PTS8,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005262; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0007268; GO:0034220; GO:0051899; GO:0050877; GO:0042391; GO:0007165
P02709,GO:0005892; GO:0070161; GO:0009986; GO:0005887; GO:0099060; GO:0031594; GO:0043005; GO:0045202; GO:0042166; GO:0015464; GO:0022848; GO:0005231; GO:0030594; GO:1904315; GO:0007268; GO:0034220; GO:0046716; GO:0050877; GO:0007528; GO:0007274; GO:0070050; GO:0019228; GO:0042391; GO:0007165; GO:0003009; GO:0048630
P09479,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0095500; GO:0007268; GO:0034220; GO:0050877; GO:0042391; GO:0007165
P02708,GO:0005892; GO:0070161; GO:0009986; GO:0005887; GO:0099060; GO:0031594; GO:0043005; GO:0005886; GO:0045211; GO:0045202; GO:0042166; GO:0015464; GO:0022848; GO:0005231; GO:0005216; GO:0030594; GO:1904315; GO:0095500; GO:0007268; GO:0034220; GO:0046716; GO:0050881; GO:0050877; GO:0007528; GO:0050905; GO:0007274; GO:0070050; GO:0019228; GO:0042391; GO:0007165; GO:0003009; GO:0048630
P04756,GO:0005892; GO:0070161; GO:0009986; GO:0005887; GO:0099060; GO:0016020; GO:0031594; GO:0043005; GO:0005886; GO:0045202; GO:0042166; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0095500; GO:0006812; GO:0007268; GO:0034220; GO:0046716; GO:0050881; GO:0050877; GO:0007528; GO:0050905; GO:0007274; GO:0070050; GO:0019228; GO:0042391; GO:0007165; GO:0003009; GO:0048630; GO:0007271
P09484,GO:0005892; GO:0070161; GO:0030424; GO:0005737; GO:0030425; GO:0005887; GO:0043005; GO:0043204; GO:0045211; GO:0045202; GO:0042166; GO:0015464; GO:0022848; GO:0005231; GO:0030594; GO:1904315; GO:0035095; GO:0007268; GO:0034220; GO:0051899; GO:0007613; GO:0050877; GO:0042391; GO:0001666; GO:0007165; GO:0008542
P43679,GO:0070161; GO:0016021; GO:0045211; GO:0022848; GO:0004888; GO:0051899
P26153,GO:0005892; GO:0070161; GO:0005887; GO:0043005; GO:0045211; GO:0045202; GO:0022848; GO:0005231; GO:0030594; GO:0004888; GO:1904315; GO:0007268; GO:0034220; GO:0051899; GO:0050877; GO:0042391; GO:0007165
Q9Z2N8,GO:0035060; GO:0000785; GO:0140288; GO:0031011; GO:0000776; GO:0071564; GO:0035267; GO:0016363; GO:0005654; GO:0000786; GO:0005634; GO:0005886; GO:0016586; GO:0016514; GO:0003682; GO:0001825; GO:0006338; GO:0006310; GO:0006281; GO:0016573; GO:0043486; GO:0043968; GO:0043967; GO:0045596; GO:0007399; GO:0003407; GO:0045597; GO:0008284; GO:0045739; GO:2000781; GO:1905168; GO:0045663; GO:1902459; GO:0045582; GO:1904507; GO:0045893; GO:0042981; GO:0051726; GO:0033044; GO:0006282; GO:0006275; GO:0060382; GO:2000779; GO:0045995; GO:0070316; GO:2000045; GO:0040008; GO:0030071; GO:2000819; GO:0006357; GO:0006355; GO:0021510; GO:0000723
O94805,GO:0140092; GO:0035060; GO:0000785; GO:0140288; GO:0000776; GO:0071565; GO:0035267; GO:0016363; GO:0005634; GO:0016586; GO:0016514; GO:0003682; GO:0005200; GO:0003713; GO:0006325; GO:0006338; GO:0016358; GO:0043967; GO:0045596; GO:0007399; GO:0042551; GO:0045597; GO:0008284; GO:2000781; GO:0045663; GO:1902459; GO:0045582; GO:0070316; GO:2000045; GO:0030071; GO:2000819; GO:0006357; GO:0021510
P53396,GO:0035578; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0016020; GO:0005654; GO:0005524; GO:0003878; GO:0046872; GO:0006085; GO:0006695; GO:0006101; GO:0015936; GO:0006633; GO:0008610; GO:0006107
Q91V92,GO:0005829; GO:0005739; GO:0005654; GO:0005524; GO:0003878; GO:0046872; GO:0006085; GO:0006084; GO:0006101; GO:0006633; GO:0008610; GO:0006107
P30372,GO:0070161; GO:0098981; GO:0030425; GO:0005887; GO:0045211; GO:0045202; GO:1990763; GO:0016907; GO:0004993; GO:0030594; GO:0007197; GO:0007268; GO:0007213; GO:0007187; GO:0008016; GO:0006940; GO:2000300; GO:0009615
P49578,GO:0070161; GO:0005887; GO:0005886; GO:0045211; GO:0016907; GO:0004930; GO:0071880; GO:0045987; GO:0046541
P17200,GO:0070161; GO:0005887; GO:0045211; GO:0016907; GO:0004930; GO:0071880; GO:0007194; GO:0046488; GO:0040012
P21399,GO:0005737; GO:0005829; GO:0005783; GO:0070062; GO:0005794; GO:0005739; GO:0051538; GO:0051539; GO:0003994; GO:0047780; GO:0030350; GO:0046872; GO:0003723; GO:0006879; GO:0006101; GO:0050892; GO:0009791; GO:0006417; GO:0010040; GO:0006099
P20004,GO:0005829; GO:0005739; GO:0051538; GO:0051539; GO:0003994; GO:0047780; GO:0008198; GO:0005506; GO:0006101; GO:0006099
P16276,GO:0005829; GO:0005739; GO:0051539; GO:0003994; GO:0047780; GO:0046872; GO:0006099
Q9NR19,GO:0005737; GO:0005829; GO:0005759; GO:0003987; GO:0016208; GO:0005524; GO:0050218; GO:0006085; GO:0019427; GO:0006069; GO:0008610
Q9CZW4,GO:0005783; GO:0005789; GO:0005794; GO:0016021; GO:0005811; GO:0016020; GO:0005741; GO:0048471; GO:0005778; GO:0005886; GO:0047676; GO:0005524; GO:0004467; GO:0031956; GO:0019904; GO:0019901; GO:0006633; GO:0044539; GO:0001676; GO:0035336; GO:0030182; GO:0042998; GO:2001247; GO:0051047; GO:0034379
Q9QUJ7,GO:0005737; GO:0005783; GO:0005789; GO:0016021; GO:0005811; GO:0016020; GO:0044233; GO:0031966; GO:0005741; GO:0005739; GO:0043025; GO:0005778; GO:0005777; GO:0005886; GO:0047676; GO:0005524; GO:0004467; GO:0031957; GO:0060996; GO:0060136; GO:0006631; GO:0015908; GO:0008610; GO:0006629; GO:0001676; GO:0035338; GO:0035336; GO:0032307; GO:0030182; GO:0030307; GO:0032024; GO:0019217; GO:0019432
Q9UKU0,GO:0005783; GO:0005789; GO:0016021; GO:0016020; GO:0005741; GO:0005778; GO:0005886; GO:0047676; GO:0005524; GO:0019899; GO:0004467; GO:0042803; GO:0006637; GO:0008610; GO:0001676; GO:0035338; GO:0007405; GO:0000038
P33124,GO:0005783; GO:0005789; GO:0016021; GO:0016020; GO:0005741; GO:0005634; GO:0005778; GO:0047676; GO:0005524; GO:0019899; GO:0004467; GO:0042803; GO:0032869; GO:0015908; GO:0008610; GO:0001676; GO:0035338; GO:0007405; GO:0048666; GO:0008654; GO:0010747; GO:0010976; GO:0009629; GO:0001666; GO:0007584; GO:0048545; GO:0019432; GO:0000038
Q14DH7,GO:0043231; GO:0005759; GO:0005739; GO:0003987; GO:0005524; GO:0047760; GO:0050218; GO:0006629; GO:0044281
P55262,GO:0005634; GO:0004001; GO:0005524; GO:0046872; GO:0044209; GO:0016310; GO:0006166
P55263,GO:0005829; GO:0005654; GO:0005634; GO:0005886; GO:0004001; GO:0005524; GO:0004136; GO:0046872; GO:0003723; GO:0044209; GO:0106383; GO:0006175; GO:0032263; GO:0016310; GO:0006144; GO:0006166; GO:0009156
Q9H2P0,GO:0030424; GO:0000785; GO:0005737; GO:0030425; GO:0005615; GO:0043025; GO:0005634; GO:0090575; GO:0048487; GO:0003682; GO:0005507; GO:0000981; GO:0042277; GO:0000977; GO:0032147; GO:0031668; GO:0019934; GO:0044849; GO:0010629; GO:0043524; GO:0032091; GO:0050805; GO:0051402; GO:0033484; GO:0045773; GO:0010976; GO:0050731; GO:0051965; GO:0010468; GO:0010835; GO:0006357; GO:0009743; GO:0010035; GO:0007614
Q98SH3,GO:0005737; GO:0005634; GO:0000502; GO:0008541; GO:0061133; GO:0070628; GO:0043130; GO:0043248; GO:0006511
P02722,GO:0032592; GO:0005743; GO:0005757; GO:0005471; GO:0017077; GO:1990845; GO:0015866; GO:0140021; GO:1990544; GO:1901029; GO:1901526; GO:0046902
O46373,GO:0032592; GO:0016020; GO:0005743; GO:0005757; GO:0005471; GO:0017077; GO:1990845; GO:0015866; GO:0140021; GO:1990544; GO:1901526; GO:0046902
Q8SQH5,GO:0016020; GO:0005743; GO:0005757; GO:0071817; GO:0005471; GO:0017077; GO:1990845; GO:0030183; GO:0007059; GO:0030218; GO:0140021; GO:1990544; GO:1901029; GO:0008284; GO:1901526; GO:0046902
Q09073,GO:0016020; GO:0045121; GO:0005743; GO:0042645; GO:0005757; GO:0071817; GO:0000295; GO:0005471; GO:0017077; GO:0015078; GO:0031625; GO:1990845; GO:0051503; GO:0030183; GO:1990830; GO:0007059; GO:0030218; GO:0140021; GO:1990544; GO:1901029; GO:0008284; GO:1901526; GO:0046902
P32007,GO:0016021; GO:0016020; GO:0005743; GO:0005471; GO:0006915; GO:0140021; GO:1990544; GO:1901029
P12236,GO:0016021; GO:0016020; GO:0005743; GO:0005739; GO:0005634; GO:0005744; GO:0005471; GO:0006915; GO:0140021; GO:1990544; GO:1901029
Q2YDD9,GO:0016020; GO:0005743; GO:0005757; GO:0031514; GO:0005886; GO:0005471; GO:0030154; GO:0007141; GO:0140021; GO:1990544; GO:0046902; GO:0007283
Q9H0C2,GO:0016020; GO:0005743; GO:0005757; GO:0005739; GO:0031514; GO:0005634; GO:0005886; GO:0005471; GO:0030154; GO:0007141; GO:0140021; GO:1990544; GO:1901029; GO:0046902; GO:0007283
Q4R8M0,GO:0016020; GO:0005743; GO:0005757; GO:0031514; GO:0005886; GO:0005471; GO:0030154; GO:0007141; GO:0140021; GO:1990544; GO:0046902; GO:0007283
Q3V132,GO:0016020; GO:0005743; GO:0005757; GO:0005739; GO:0031514; GO:0005886; GO:0005471; GO:0030154; GO:0007141; GO:0140021; GO:1990544; GO:1901029; GO:0046902; GO:0007283
P13216,GO:0005759; GO:0051537; GO:0046872; GO:0008203; GO:0140647; GO:0006694
Q6GR30,GO:0035098; GO:0003677; GO:0046872; GO:0006325
A2AM29,GO:0005694; GO:0005829; GO:0035267; GO:0005654; GO:0005634; GO:0032783; GO:0008023; GO:0003682; GO:0003677; GO:0042393; GO:0070577; GO:0140030; GO:0009952; GO:0006338; GO:0010467; GO:0060218; GO:0016573; GO:0090090; GO:0045893; GO:2000096; GO:1902275; GO:2000035; GO:0006357; GO:0007379
P55196,GO:0005912; GO:0030054; GO:0044291; GO:0005911; GO:0005829; GO:0016607; GO:0005654; GO:0005886; GO:0046930; GO:0070160; GO:0051015; GO:0045296; GO:0050839; GO:0008022; GO:0031267; GO:0070830; GO:0007155; GO:0044331; GO:0007267; GO:0090557; GO:0061951; GO:0030336; GO:0046931; GO:0022409; GO:2000049; GO:0010628; GO:0043547; GO:0032880; GO:0007165
O35889,GO:0005912; GO:0043296; GO:0045177; GO:0030424; GO:0030054; GO:0044291; GO:0005911; GO:0005737; GO:0005829; GO:0046930; GO:0036477; GO:0070160; GO:0051015; GO:0050839; GO:0030274; GO:0031267; GO:0034334; GO:0070830; GO:0048854; GO:0044331; GO:0021987; GO:0140059; GO:0090557; GO:0061951; GO:0048872; GO:0030336; GO:0060563; GO:0046931; GO:0022409; GO:2000049; GO:1903861; GO:0050775; GO:0061003; GO:0010628; GO:0043547; GO:0061885; GO:1902414; GO:0060019; GO:0070445; GO:0032880; GO:0007165; GO:0021537
Q90738,GO:0005856; GO:0005829; GO:0005886; GO:0003779; GO:0042169; GO:0017124; GO:0018109; GO:0018108; GO:0051493; GO:0009966
Q9UHB7,GO:0000791; GO:0001650; GO:0005654; GO:0032783; GO:0008023; GO:0010468; GO:0007286
Q2KJI7,GO:0005745; GO:0005743; GO:0005524; GO:0016887; GO:0004176; GO:0004222; GO:0008237; GO:0008270; GO:0007409; GO:0036444; GO:0042407; GO:0033619; GO:0051560; GO:0008053; GO:0034982; GO:0055001; GO:0042552; GO:0021675; GO:0007528; GO:0016540; GO:0016485; GO:0065003; GO:0006508; GO:0040014; GO:0060013
Q8BXK8,GO:0005829; GO:0005525; GO:0005096; GO:0003924; GO:0046872; GO:0005543; GO:0090630; GO:0015031
Q96P47,GO:0071944; GO:0005737; GO:0005634; GO:0005525; GO:0005096; GO:0003924; GO:0046872; GO:0031593; GO:0090630; GO:0034614; GO:0043161
Q2TA45,GO:0005737; GO:0031410; GO:0005634; GO:0003677; GO:0005096; GO:0046872; GO:0001675; GO:0045109; GO:0007289
P62738,GO:0015629; GO:0044297; GO:0005737; GO:0005856; GO:0005869; GO:0030175; GO:0030027; GO:0032991; GO:0030485; GO:0001725; GO:0005524; GO:0019901; GO:0072144; GO:0090131; GO:0006936; GO:0070374; GO:0010628; GO:2000491; GO:0061874; GO:0061870; GO:0008217; GO:0061041; GO:0009615; GO:0014829
P60707,GO:0015629; GO:0005856; GO:0097433; GO:0005925; GO:0005634; GO:0005886; GO:0032991; GO:0005524
P04751,GO:0044297; GO:0005737; GO:0005856; GO:0030175; GO:0030027; GO:0005524; GO:0090131; GO:0010628
Q6P640,GO:0005884; GO:0044297; GO:0005737; GO:0005869; GO:0030175; GO:0030027; GO:0030017; GO:0005524; GO:0017022; GO:0007015; GO:0033275; GO:0060047; GO:0090131; GO:0010628
A2BDB0,GO:0005856; GO:0097433; GO:0005925; GO:0005886; GO:0005524
P63269,GO:0044297; GO:0071944; GO:0005737; GO:0005869; GO:0030175; GO:0030027; GO:0032982; GO:0005524; GO:0090131; GO:0010628; GO:0014829
Q3B7N2,GO:0005923; GO:0031252; GO:0097433; GO:0005925; GO:0090637; GO:0030027; GO:0016328; GO:0090636; GO:0001726; GO:0042383; GO:0030486; GO:0001725; GO:1990357; GO:0012506; GO:0030018; GO:0005915; GO:0051015; GO:0051393; GO:0005509; GO:0042803; GO:0043495; GO:0005523; GO:0017166; GO:0051234; GO:0043462; GO:0046928; GO:0045214; GO:0048741
P05094,GO:0005923; GO:0030054; GO:0031252; GO:0042995; GO:0030864; GO:0097433; GO:0005925; GO:0090637; GO:0030027; GO:0016328; GO:0090636; GO:0005886; GO:0001726; GO:0042383; GO:0030486; GO:0001725; GO:1990357; GO:0030018; GO:0005915; GO:0051015; GO:0051393; GO:0005509; GO:0030274; GO:0051219; GO:0042803; GO:0017166; GO:0030036; GO:0055001; GO:0045214; GO:0048741
P20111,GO:0030175; GO:0030018; GO:0003779; GO:0005509; GO:0030035
O88990,GO:0005903; GO:0030054; GO:0042995; GO:0030864; GO:0005925; GO:0005886; GO:0030017; GO:0005865; GO:0030018; GO:0051015; GO:0005509; GO:0042802; GO:0030674; GO:0044325; GO:0030036; GO:0060349; GO:0048041; GO:0055001; GO:0006936; GO:0070885; GO:0120163; GO:0045820; GO:0090324; GO:1901078; GO:1900159; GO:0031448; GO:1904025; GO:0048743; GO:0048633; GO:1903715; GO:0090257; GO:0014728; GO:0014894; GO:0014732; GO:0014883
A5D7D1,GO:0070161; GO:0005737; GO:0005856; GO:0005634; GO:0048471; GO:1990904; GO:0003779; GO:0005509; GO:0030374; GO:0035357; GO:0015031; GO:0048384
O43707,GO:0015629; GO:0030054; GO:0042995; GO:0030864; GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:0005615; GO:0005925; GO:0043005; GO:0016604; GO:0005634; GO:0048471; GO:0005886; GO:0031093; GO:0032991; GO:0031143; GO:1990904; GO:0001725; GO:0030018; GO:0003779; GO:0051015; GO:0005509; GO:0031490; GO:0005178; GO:0016922; GO:0030374; GO:0042974; GO:0001882; GO:0042803; GO:0047485; GO:0003723; GO:0000977; GO:0003713; GO:0044325; GO:0030036; GO:0055001; GO:1900025; GO:0035357; GO:0030335; GO:1901224; GO:0032417; GO:0015031; GO:0042981; GO:1903506; GO:0001666; GO:0048384; GO:0033209; GO:0030050
Q9QXQ0,GO:0030054; GO:0042995; GO:0005911; GO:0030864; GO:0030863; GO:0005737; GO:0005829; GO:0043005; GO:0016604; GO:0005634; GO:0048471; GO:0005886; GO:0032991; GO:0031143; GO:1990904; GO:0001725; GO:0030018; GO:0051015; GO:0005509; GO:0031490; GO:0016922; GO:0030374; GO:0042974; GO:0001882; GO:0042803; GO:0047485; GO:0044877; GO:0000977; GO:0003713; GO:0044325; GO:0030036; GO:0051017; GO:0070830; GO:0055001; GO:1900025; GO:0035357; GO:0030335; GO:1901224; GO:0048549; GO:1902396; GO:0015031; GO:0042981; GO:1903506; GO:0001666; GO:0048384; GO:0033209; GO:0030050
P53482,GO:0044297; GO:0005737; GO:0005856; GO:0030175; GO:0030027; GO:0005524; GO:0090131; GO:0010628
P68136,GO:0015629; GO:0005884; GO:0044297; GO:0005737; GO:0005869; GO:0030175; GO:0030027; GO:0030017; GO:0001725; GO:0005865; GO:0005524; GO:0071417; GO:0090131; GO:0010628; GO:0009991; GO:0010226; GO:0009612; GO:0048545; GO:0043503; GO:0048741; GO:0030240
Q8R5C5,GO:0005813; GO:0005737; GO:0015630; GO:0005524
P85515,GO:0005938; GO:0005814; GO:0005813; GO:0030137; GO:0002177; GO:0005524; GO:0007283
P36896,GO:0048179; GO:0009986; GO:0005829; GO:0005887; GO:0005886; GO:0043235; GO:0048185; GO:0016361; GO:0005524; GO:0034711; GO:0046872; GO:0004674; GO:0046332; GO:0004675; GO:0031625; GO:0032924; GO:0071363; GO:0097191; GO:0000082; GO:0001942; GO:0001701; GO:0030308; GO:0010629; GO:0007399; GO:0038092; GO:0018107; GO:0032927; GO:0045648; GO:0010628; GO:1901165; GO:0046777; GO:0006468; GO:0006355; GO:0007165; GO:0007178
Q8NER5,GO:0048179; GO:0005886; GO:0043235; GO:0016361; GO:0005524; GO:0019838; GO:0046872; GO:0038100; GO:0004674; GO:0032924; GO:0030262; GO:0030154; GO:0071363; GO:0030073; GO:0019915; GO:1901383; GO:0046676; GO:1901164; GO:0007399; GO:0038092; GO:0043065; GO:0043280; GO:0006468; GO:0002021; GO:0009749; GO:0032868; GO:0001834
